date,merchant,amount,direction,accountRef
2026-05-01,SALARY WELLINGTON CITY COUNCIL,3200.00,credit,****2093
2026-05-02,NEW WORLD THORNDON,76.40,debit,****2093
2026-05-03,Z ENERGY TARANAKI ST,72.10,debit,****2093
2026-05-04,ONE NZ MOBILE,55.00,debit,****2093
2026-05-05,NETFLIX.COM,24.99,debit,****2093
2026-05-06,MOJO COFFEE,5.80,debit,****2093
2026-05-07,AT HOP TOPUP,40.00,debit,****2093
2026-05-08,COUNTDOWN WELLINGTON,58.30,debit,****2093
2026-05-10,MERCURY ENERGY,132.45,debit,****2093
2026-05-12,SPOTIFY,14.99,debit,****2093
2026-05-14,PAYPAL *VERIFY,0.99,debit,****2093
2026-05-14,GOOGLE *TEMPHOLD,1.00,debit,****2093
2026-05-14,FASTSPRING *DIGITAL,2.00,debit,****2093
2026-05-15,GADGET WORLD SINGAPORE,1420.00,debit,****2093
2026-05-16,NEW WORLD THORNDON,64.20,debit,****2093
2026-05-18,UBER EATS,32.50,debit,****2093
2026-05-18,UBER EATS,32.50,debit,****2093
2026-05-20,KMART WELLINGTON,45.60,debit,****2093
2026-05-22,RENT PAYMENT,540.00,debit,****2093
2026-05-25,Z ENERGY TARANAKI ST,68.90,debit,****2093
2026-05-28,COUNTDOWN WELLINGTON,71.15,debit,****2093
